,"",""
648746," YONGE ST ","Wednesday"
516516," YONGE ST ","Saturday"
423675," EGLINTON AVE W ","Monday"
405897," STEELES AVE W ","Wednesday"
372938," BAY ST ","Thursday"
338712," KEELE ST ","Tuesday"
336277," EGLINTON AVE E ","Monday"
324322," YONGE ST ","Tuesday"
314764," SHEPPARD AVE E ","Wednesday"
306879," KINGSTON RD ","Wednesday"
305660," BLOOR ST W ","Thursday"
298896," FINCH AVE E ","Tuesday"
283527," DUFFERIN ST ","Monday"
276350," LAWRENCE AVE E ","Tuesday"
270943," BLOOR ST W ","Wednesday"
264086," LAWRENCE AVE E ","Monday"
262818," SHEPPARD AVE E ","Saturday"
259577," WARDEN AVE ","Tuesday"
259156," BATHURST ST ","Wednesday"
255587," FINCH AVE W ","Tuesday"
244414," BATHURST ST ","Tuesday"
243879," LAKE SHORE BLVD W ","Wednesday"
242536," KIPLING AVE ","Tuesday"
240483," YONGE ST ","Monday"
236118," EGLINTON AVE E ","Thursday"
235490," EGLINTON AVE E ","Wednesday"
229748," KENNEDY RD ","Thursday"
228166," STEELES AVE E ","Wednesday"
226410," AVENUE RD ","Thursday"
226336," WESTON RD ","Thursday"
225735," BATHURST ST ","Saturday"
225707," JANE ST ","Thursday"
225225," JANE ST ","Tuesday"
223904," STEELES AVE E ","Monday"
220204," MARKHAM RD ","Saturday"
219502," ST CLAIR AVE W ","Thursday"
219323," KINGSTON RD ","Thursday"
217823," BATHURST ST ","Monday"
216869," BIRCHMOUNT RD ","Wednesday"
214554," FINCH AVE W ","Wednesday"
213932," KING ST W ","Wednesday"
210089," DUNDAS ST W ","Wednesday"
203861," VICTORIA PARK AVE ","Wednesday"
202406," SPADINA AVE ","Saturday"
201348," LAKE SHORE BLVD W ","Tuesday"
201249," YORK MILLS RD ","Wednesday"
197546," LAKE SHORE BLVD W ","Thursday"
197253," SHEPPARD AVE E ","Tuesday"
197141," THE QUEENSWAY ","Wednesday"
197071," DUFFERIN ST ","Tuesday"
195138," DUNDAS ST W ","Saturday"
194674," DUFFERIN ST ","Saturday"
191884," DANFORTH AVE ","Thursday"
190108," BAYVIEW AVE ","Monday"
190108," JARVIS ST ","Tuesday"
188035," STEELES AVE E ","Thursday"
185284," BRIMLEY RD ","Thursday"
181963," DUNDAS ST W ","Tuesday"
180939," SHEPPARD AVE E ","Thursday"
179039," UNIVERSITY AVE ","Saturday"
178145," BLOOR ST W ","Tuesday"
178004," THE QUEENSWAY ","Tuesday"
177169," DUNDAS ST W ","Thursday"
174493," DON MILLS RD ","Wednesday"
172831," LAWRENCE AVE E ","Wednesday"
167705," EGLINTON AVE W ","Thursday"
164606," DUNDAS ST W ","Monday"
162162," BAYVIEW AVE ","Tuesday"
161389," STEELES AVE E ","Saturday"
161197," DIXON RD ","Tuesday"
161163," AVENUE RD ","Tuesday"
160259," DUFFERIN ST ","Wednesday"
158768," KINGSTON RD ","Saturday"
156550," STEELES AVE W ","Monday"
156373," MARTIN GROVE RD ","Tuesday"
155786," STEELES AVE W ","Saturday"
153911," LAWRENCE AVE E ","Thursday"
152953," MIDLAND AVE ","Wednesday"
151715," WILSON AVE ","Thursday"
150737," WILLIAM R ALLEN RD ","Wednesday"
150300," MCCOWAN RD ","Saturday"
149580," QUEEN ST W ","Wednesday"
149579," BAYVIEW AVE ","Thursday"
148920," FINCH AVE E ","Wednesday"
148309," EGLINTON AVE W ","Tuesday"
148225," ISLINGTON AVE ","Tuesday"
147424," AVENUE RD ","Wednesday"
146816," ISLINGTON AVE ","Wednesday"
146536," MARKHAM RD ","Wednesday"
145810," KEELE ST ","Thursday"
144423," FINCH AVE W ","Monday"
143752," SHEPPARD AVE W ","Wednesday"
143656," ALBION RD ","Wednesday"
141965," FINCH AVE W ","Thursday"
141609," STEELES AVE E ","Tuesday"
141015," CHURCH ST ","Tuesday"
140634," MORNINGSIDE AVE ","Wednesday"
140265," DON MILLS RD ","Thursday"
140127," LAWRENCE AVE W ","Monday"
138158," ALBION RD ","Tuesday"
137252," KENNEDY RD ","Tuesday"
136500," DON MILLS RD ","Tuesday"
135796," WARDEN AVE ","Wednesday"
134613," BAYVIEW AVE ","Wednesday"
134307," UNIVERSITY AVE ","Thursday"
134262," MARKHAM RD ","Tuesday"
134046," LAWRENCE AVE W ","Thursday"
132987," MOUNT PLEASANT RD ","Monday"
132173," FINCH AVE E ","Saturday"
131105," ISLINGTON AVE ","Thursday"
130174," JANE ST ","Monday"
130149," BAY ST ","Tuesday"
128283," MCCOWAN RD ","Monday"
127896," DUNDAS ST E ","Monday"
127246," SHEPPARD AVE W ","Tuesday"
126949," VICTORIA PARK AVE ","Tuesday"
125124," LESLIE ST ","Wednesday"
124976," DON MILLS RD ","Monday"
124920," VICTORIA PARK AVE ","Thursday"
122593," MOUNT PLEASANT RD ","Tuesday"
122212," ST CLAIR AVE W ","Monday"
122181," LAWRENCE AVE W ","Wednesday"
121433," ST CLAIR AVE E ","Saturday"
121181," WILSON AVE ","Tuesday"
119883," WESTON RD ","Monday"
119873," BAY ST ","Wednesday"
117224," WESTON RD ","Wednesday"
116638," AVENUE RD ","Monday"
115879," WARDEN AVE ","Monday"
115339," LAKE SHORE BLVD W ","Saturday"
114649," PHARMACY AVE ","Thursday"
112231," KIPLING AVE ","Wednesday"
110352," KINGSTON RD ","Monday"
108918," MCCOWAN RD ","Wednesday"
108158," BATHURST ST ","Thursday"
108002," DANFORTH AVE ","Tuesday"
105501," WESTON RD ","Tuesday"
102601," ROYAL YORK RD ","Thursday"
100944," LAKE SHORE BLVD E ","Monday"
99152," ELLESMERE RD ","Saturday"
98891," STEELES AVE W ","Tuesday"
97940," VICTORIA PARK AVE ","Monday"
97626," DANFORTH RD ","Thursday"
96791," LESLIE ST ","Monday"
95130," QUEEN ST E ","Tuesday"
94308," WILSON AVE ","Saturday"
94266," ELLESMERE RD ","Monday"
94229," KIPLING AVE ","Thursday"
93567," ELLESMERE RD ","Tuesday"
93220," LESLIE ST ","Saturday"
92983," PHARMACY AVE ","Tuesday"
92760," FINCH AVE E ","Monday"
92089," REXDALE BLVD ","Thursday"
91840," BLOOR ST W ","Monday"
91692," KENNEDY RD ","Saturday"
90203," LAWRENCE AVE E ","Saturday"
88827," JANE ST ","Wednesday"
88284," THE QUEENSWAY ","Thursday"
86302," COLLEGE ST ","Tuesday"
86082," EGLINTON AVE E ","Tuesday"
84979," DANFORTH AVE ","Wednesday"
84031," EGLINTON AVE W ","Wednesday"
83981," ISLINGTON AVE ","Saturday"
80827," EGLINTON AVE E ","Saturday"
80686," THE QUEENSWAY ","Monday"
80613," LAWRENCE AVE W ","Tuesday"
80346," KINGSTON RD ","Tuesday"
79827," EGLINTON AVE W ","Saturday"
79080," BLACK CREEK DR ","Wednesday"
78752," COLLEGE ST ","Saturday"
78226," GERRARD ST E ","Wednesday"
78028," SHERBOURNE ST ","Wednesday"
77871," RENFORTH DR ","Thursday"
77871," O CONNOR DR ","Wednesday"
77477," O CONNOR DR ","Saturday"
76995," MCCOWAN RD ","Thursday"
76855," LAKE SHORE BLVD W ","Monday"
75773," HIGHWAY 27 ","Tuesday"
74977," KING ST W ","Thursday"
74220," FINCH AVE E ","Thursday"
73291," BLOOR ST E ","Saturday"
72908," ST CLAIR AVE W ","Wednesday"
72199," QUEEN ST E ","Wednesday"
71924," LESLIE ST ","Tuesday"
71306," BLOOR ST E ","Thursday"
69804," CHURCH ST ","Wednesday"
69478," DANFORTH AVE ","Saturday"
68979," O CONNOR DR ","Monday"
68387," KEELE ST ","Wednesday"
67768," ST CLAIR AVE E ","Wednesday"
66139," KENNEDY RD ","Wednesday"
65723," BURNHAMTHORPE RD ","Monday"
65562," QUEEN ST E ","Saturday"
65324," BRIMLEY RD ","Monday"
65311," DAVENPORT RD ","Monday"
65220," KEELE ST ","Monday"
64625," YONGE ST ","Thursday"
64562," NEILSON RD ","Thursday"
64506," WILSON AVE ","Monday"
64424," STEELES AVE W ","Friday"
64347," COLLEGE ST ","Monday"
62775," BURNHAMTHORPE RD ","Wednesday"
62421," DAVENPORT RD ","Thursday"
61904," LESLIE ST ","Thursday"
61573," MARTIN GROVE RD ","Monday"
61080," KING ST E ","Tuesday"
60796," SHEPPARD AVE E ","Monday"
60595," DIXON RD ","Saturday"
60588," KENNEDY RD ","Monday"
60099," GERRARD ST E ","Tuesday"
60034," MORNINGSIDE AVE ","Monday"
59887," WILLIAM R ALLEN RD ","Tuesday"
58971," QUEEN ST W ","Tuesday"
58712," YORK ST ","Wednesday"
58633," SHEPPARD AVE W ","Thursday"
56540," DANFORTH RD ","Wednesday"
56044," QUEEN ST W ","Thursday"
55977," ELLESMERE RD ","Wednesday"
55127," MIDLAND AVE ","Saturday"
55036," O CONNOR DR ","Tuesday"
54464," DUNDAS ST E ","Thursday"
54308," STEELES AVE W ","Thursday"
54118," THE EAST MALL ","Tuesday"
53710," QUEENS QUAY W ","Wednesday"
53656," SPADINA AVE ","Tuesday"
51666," RICHMOND ST W ","Tuesday"
51588," MCNICOLL AVE ","Thursday"
51458," NEILSON RD ","Saturday"
51441," QUEENS PARK CRES E ","Wednesday"
51306," KIPLING AVE ","Monday"
50532," YORK ST ","Tuesday"
50369," BURNHAMTHORPE RD ","Tuesday"
50335," HIGHWAY 27 ","Wednesday"
50181," VICTORIA PARK AVE ","Saturday"
49663," PROGRESS AVE ","Monday"
49341," PHARMACY AVE ","Monday"
49285," DUPONT ST ","Saturday"
48508," MIDLAND AVE ","Tuesday"
48027," QUEEN ST E ","Thursday"
47369," WARDEN AVE ","Saturday"
46880," GERRARD ST E ","Thursday"
46671," QUEEN ST E ","Monday"
46251," SPADINA RD ","Thursday"
45489," HIGHWAY 27 ","Thursday"
44900," GERRARD ST E ","Monday"
44873," BAYVIEW AVE ","Saturday"
44682," SPADINA AVE ","Wednesday"
44416," LAKE SHORE BLVD E ","Wednesday"
43365," SCARLETT RD ","Tuesday"
42641," FRONT ST W ","Tuesday"
42592," KING ST W ","Saturday"
42588," COXWELL AVE ","Monday"
42508," ST CLAIR AVE E ","Thursday"
42329," ALBION RD ","Saturday"
42245," PHARMACY AVE ","Saturday"
41887," COXWELL AVE ","Thursday"
41818," EASTERN AVE ","Monday"
41564," PARK LAWN RD ","Thursday"
40226," COLLEGE ST ","Thursday"
39086," LAIRD DR ","Saturday"
39071," DANFORTH RD ","Saturday"
38568," ORIOLE PKWY ","Wednesday"
38242," JARVIS ST ","Saturday"
38168," BROADVIEW AVE ","Tuesday"
38062," DUPONT ST ","Thursday"
37973," ISLINGTON AVE ","Monday"
37841," DIXON RD ","Monday"
37733," BLOOR ST ","Thursday"
37282," ADELAIDE ST E ","Tuesday"
36808," DANFORTH AVE ","Monday"
36711," OVERLEA BLVD ","Wednesday"
36542," UNIVERSITY AVE ","Monday"
36316," ANNETTE ST ","Thursday"
35161," SHEPPARD AVE W ","Monday"
34734," UNIVERSITY AVE ","Wednesday"
34437," ADELAIDE ST W ","Tuesday"
34433," SHEPPARD AVE W ","Saturday"
34170," ADELAIDE ST W ","Thursday"
33699," REXDALE BLVD ","Friday"
33490," BIRCHMOUNT RD ","Tuesday"
33422," PHARMACY AVE ","Wednesday"
33163," PARLIAMENT ST ","Saturday"
32878," FRONT ST W ","Wednesday"
32873," DORIS AVE ","Thursday"
32856," HARBORD ST ","Wednesday"
32655," BIRCHMOUNT RD ","Saturday"
32627," WYNFORD DR ","Tuesday"
32179," ROYAL YORK RD ","Tuesday"
31833," PROGRESS AVE ","Tuesday"
31594," ST GEORGE ST ","Wednesday"
31333," BRIMLEY RD ","Wednesday"
31212," SHERBOURNE ST ","Tuesday"
31177," MOUNT PLEASANT RD ","Saturday"
30998," FRONT ST W ","Monday"
30651," LAKE SHORE BLVD E ","Thursday"
30555," PARKSIDE DR ","Wednesday"
30346," ST CLAIR AVE W ","Saturday"
29716," BROADVIEW AVE ","Monday"
29463," HARBORD ST ","Thursday"
29289," MOUNT PLEASANT RD ","Thursday"
29197," JARVIS ST ","Wednesday"
28921," MIDDLEFIELD RD ","Wednesday"
28841," FAIRVIEW MALL DR ","Wednesday"
28820," CHURCH ST ","Thursday"
28789," OSSINGTON AVE ","Thursday"
28771," LAWRENCE AVE W ","Friday"
28616," CHERRY ST ","Monday"
28598," MARTIN GROVE RD ","Thursday"
28490," PARLIAMENT ST ","Tuesday"
28148," BLACK CREEK DR ","Monday"
28136," EVANS AVE ","Thursday"
28107," MORNINGSIDE AVE ","Saturday"
27642," KING ST E ","Wednesday"
27585," EASTERN AVE ","Saturday"
27468," FINCH AVE W ","Friday"
27365," DAVENPORT RD ","Wednesday"
27272," LAIRD DR ","Thursday"
27099," BLOOR ST W ","Saturday"
27055," WILLOWDALE AVE ","Monday"
26946," MARLEE AVE ","Tuesday"
26902," SIMCOE ST ","Thursday"
26746," OVERLEA BLVD ","Thursday"
26693," PROGRESS AVE ","Wednesday"
26578," CALEDONIA RD ","Monday"
26308," SPADINA AVE ","Monday"
26276," DUNDAS ST E ","Tuesday"
26060," BEECROFT RD ","Thursday"
26043," PROGRESS AVE ","Thursday"
25745," WOODBINE AVE ","Thursday"
25545," RICHMOND ST E ","Tuesday"
25470," MILNER AVE ","Tuesday"
25310," O CONNOR DR ","Thursday"
25174," WILSON HEIGHTS BLVD ","Thursday"
25011," EVANS AVE ","Wednesday"
24765," PARLIAMENT ST ","Wednesday"
24630," LAKE SHORE BLVD E ","Saturday"
24589," MILLWOOD RD ","Thursday"
24501," BROADVIEW AVE ","Wednesday"
24413," CUMMER AVE ","Thursday"
24401," JANE ST ","Saturday"
24251," EVANS AVE ","Tuesday"
24150," HIGHWAY 27 ","Saturday"
24084," KIPLING AVE ","Friday"
24076," DUPONT ST ","Wednesday"
24062," PARK HOME AVE ","Monday"
24059," BRIMLEY RD ","Saturday"
23982," MILLWOOD RD ","Saturday"
23656," WELLINGTON ST W ","Thursday"
23255," ADELAIDE ST W ","Wednesday"
23215," PARKWOODS VILLAGE DR ","Tuesday"
23184," ELLESMERE RD ","Thursday"
23146," MCNICOLL AVE ","Wednesday"
23101," MARTIN GROVE RD ","Saturday"
23083," WYNFORD DR ","Monday"
23064," BRIMLEY RD ","Tuesday"
22884," THE WEST MALL ","Tuesday"
22748," MAIN ST ","Saturday"
22734," HARBORD ST ","Tuesday"
22720," CHURCH ST ","Saturday"
22654," QUEENS PARK ","Thursday"
22586," YONGE ST ","Friday"
22426," ALNESS ST ","Tuesday"
22356," VICTORIA ST ","Thursday"
22160," ADELAIDE ST E ","Thursday"
22023," YORK BLVD ","Tuesday"
21949," CALEDONIA RD ","Tuesday"
21826," REXDALE BLVD ","Saturday"
21094," QUEEN ST W ","Saturday"
21008," LANSDOWNE AVE ","Saturday"
20790," BLACK CREEK DR ","Thursday"
20784," THE POND RD ","Wednesday"
20765," BURNHAMTHORPE RD ","Saturday"
20667," PAPE AVE ","Saturday"
20595," QUEENS QUAY W ","Thursday"
20592," NEILSON RD ","Wednesday"
20314," CASTLEFIELD AVE ","Monday"
20293," KING ST E ","Saturday"
20262," REXDALE BLVD ","Wednesday"
19969," AVENUE RD ","Saturday"
19955," ROGERS RD ","Monday"
19834," ROGERS RD ","Saturday"
19642," ROGERS RD ","Wednesday"
19624," MCNICOLL AVE ","Tuesday"
19550," EASTERN AVE ","Tuesday"
19459," DON MILLS RD W ","Wednesday"
19156," DONLANDS AVE ","Saturday"
19116," BROWNS LINE ","Thursday"
18623," OLD WESTON RD ","Thursday"
18542," PARLIAMENT ST ","Thursday"
18498," RENFORTH DR ","Wednesday"
18364," DUNDAS ST E ","Saturday"
18236," DUFFERIN ST ","Thursday"
18236," SPADINA RD ","Tuesday"
18156," QUEENS QUAY W ","Tuesday"
17979," ROGERS RD ","Tuesday"
17953," KIPLING AVE ","Saturday"
17950," YORKDALE RD ","Wednesday"
17908," CALEDONIA RD ","Wednesday"
17880," MORTIMER AVE ","Saturday"
17848," CHURCH ST ","Monday"
17753," SCARBOROUGH GOLF CLUB RD ","Wednesday"
17657," BROWNS LINE ","Tuesday"
17635," LOWER JARVIS ST ","Tuesday"
17479," QUEENS PARK CRES W ","Tuesday"
17461," BATHURST ST ","Sunday"
17359," GERRARD ST W ","Wednesday"
17294," SHERBOURNE ST ","Thursday"
17006," MARKHAM RD ","Monday"
16989," DAVENPORT RD ","Saturday"
16860," TAPSCOTT RD ","Wednesday"
16723," MIDLAND AVE ","Monday"
16697," EASTERN AVE ","Wednesday"
16600," TRETHEWEY DR ","Tuesday"
16583," NEILSON RD ","Tuesday"
16493," THE WEST MALL ","Saturday"
16387," RICHMOND ST E ","Monday"
16261," PORT UNION RD ","Thursday"
16199," ST CLAIR AVE W ","Tuesday"
16082," TRETHEWEY DR ","Monday"
15926," BROWNS LINE ","Saturday"
15923," FINCH AVE W ","Saturday"
15905," HARBOUR ST ","Tuesday"
15768," DOVERCOURT RD ","Saturday"
15621," SHUTER ST ","Tuesday"
15374," WOODBINE AVE ","Saturday"
15271," ORIOLE PKWY ","Monday"
15256," DOVERCOURT RD ","Thursday"
15238," MOUNT PLEASANT RD ","Wednesday"
15197," SPADINA CRES ","Thursday"
15120," THE WEST MALL ","Monday"
15046," CARLINGVIEW DR ","Thursday"
15004," YORK MILLS RD ","Tuesday"
14859," JARVIS ST ","Thursday"
14758," ALBION RD ","Monday"
14757," OAKWOOD AVE ","Tuesday"
14650," THE WEST MALL ","Thursday"
14541," RATHBURN RD ","Monday"
14289," DIXON RD ","Thursday"
14277," CARLTON ST ","Monday"
14275," PORT UNION RD ","Monday"
14248," RICHMOND ST W ","Wednesday"
14229," MARLEE AVE ","Monday"
14100," PARK LAWN RD ","Tuesday"
14076," PARKSIDE DR ","Monday"
14052," YORKDALE RD ","Monday"
13968," EVANS AVE ","Saturday"
13871," DUPONT ST ","Monday"
13863," ROGERS RD ","Thursday"
13721," LAWRENCE AVE W ","Saturday"
13644," QUEENS PARK CRES E ","Tuesday"
13549," DONLANDS AVE ","Tuesday"
13530," FRONT ST E ","Tuesday"
13527," SIMCOE ST ","Monday"
13487," MILLWICK DR ","Tuesday"
13449," WESTON RD ","Friday"
13415," PARKSIDE DR ","Saturday"
13332," COXWELL AVE ","Saturday"
13319," DORIS AVE ","Wednesday"
13287," OAKWOOD AVE ","Thursday"
13199," BIRCHMOUNT RD ","Thursday"
13191," WELLINGTON ST W ","Monday"
13185," DORIS AVE ","Monday"
13137," IAN MACDONALD BLVD ","Wednesday"
13125," EGLINTON AVE E ","Friday"
13081," DANFORTH RD ","Friday"
13051," DONLANDS AVE ","Thursday"
12996," STRACHAN AVE ","Thursday"
12903," OSSINGTON AVE ","Tuesday"
12902," SPADINA AVE ","Friday"
12860," THE WESTWAY ","Tuesday"
12531," WILLOWDALE AVE ","Wednesday"
12476," LANSDOWNE AVE ","Monday"
12471," SHERBOURNE ST ","Saturday"
12424," LESLIE ST ","Friday"
12337," FRONT ST E ","Wednesday"
12329," RATHBURN RD ","Wednesday"
12278," BELLAMY RD N ","Tuesday"
12265," YORKDALE RD ","Saturday"
12247," LAKE SHORE BLVD W ","Friday"
12244," FRONT ST E ","Thursday"
12224," PORT UNION RD ","Tuesday"
12136," KING ST W ","Monday"
12124," CLONMORE DR ","Wednesday"
12095," ADELAIDE ST E ","Wednesday"
12094," EVANS AVE ","Monday"
12022," MCLEVIN AVE ","Thursday"
11863," LAKE SHORE BLVD E ","Tuesday"
11842," BELLAMY RD N ","Wednesday"
11819," THE POND RD ","Thursday"
11789," ST GEORGE ST ","Tuesday"
11723," CALEDONIA RD ","Thursday"
11615," BERMONDSEY RD ","Monday"
11599," SHOREHAM DR ","Wednesday"
11551," BRENTCLIFFE RD ","Wednesday"
11517," ROYAL YORK RD ","Monday"
11511," STRACHAN AVE ","Wednesday"
11486," MCLEVIN AVE ","Monday"
11472," MARTIN GROVE RD ","Wednesday"
11424," BAY ST ","Monday"
11393," DAVENPORT RD ","Tuesday"
11385," NORTH QUEEN ST ","Thursday"
11349," NORTH QUEEN ST ","Monday"
11072," SCARLETT RD ","Saturday"
11060," GREENWOOD AVE ","Monday"
11027," OAK ST ","Wednesday"
10992," QUEEN ST W ","Monday"
10936," HUMBER COLLEGE BLVD ","Tuesday"
10891," ST GEORGE ST ","Monday"
10812," CHESSWOOD DR ","Thursday"
10754," RONCESVALLES AVE ","Monday"
10740," YORKLAND RD ","Monday"
10695," RENFORTH DR ","Tuesday"
10647," PAPE AVE ","Thursday"
10627," WELLESLEY ST E ","Wednesday"
10619," DREWRY AVE ","Wednesday"
10550," SOUTH KINGSWAY ","Tuesday"
10305," CONSUMERS RD ","Wednesday"
10284," KEELE ST ","Saturday"
10181," ALNESS ST ","Monday"
10172," NORTH QUEEN ST ","Tuesday"
10137," HUMBER COLLEGE BLVD ","Wednesday"
10116," WILLOWDALE AVE ","Thursday"
10027," YORKDALE 401 ALLEN N RAMP ","Thursday"
9932," SIGNET DR ","Thursday"
9790," DON MILLS RD E ","Thursday"
9766," MCNICOLL AVE ","Monday"
9719," HOSKIN AVE ","Monday"
9713," SHERWAY GARDENS RD ","Tuesday"
9708," WILMINGTON AVE ","Tuesday"
9655," LOWER SHERBOURNE ST ","Wednesday"
9618," MEADOWVALE RD ","Wednesday"
9481," OAKWOOD AVE ","Wednesday"
9475," LUMSDEN AVE ","Thursday"
9442," CONSILIUM PL ","Thursday"
9365," MILITARY TRL ","Wednesday"
9278," ALLIANCE AVE ","Thursday"
9275," WICKSTEED AVE ","Tuesday"
9190," THE EAST MALL ","Monday"
9132," CUMMER AVE ","Wednesday"
9062," DANFORTH RD ","Monday"
9022," FENMAR DR ","Monday"
8997," WELLESLEY ST E ","Tuesday"
8991," SOUTHVALE DR ","Saturday"
8961," SENTINEL RD ","Wednesday"
8924," HORNER AVE ","Tuesday"
8896," TAPSCOTT RD ","Tuesday"
8872," CHAPLIN CRES ","Monday"
8866," BEECROFT RD ","Wednesday"
8841," GREENWOOD AVE ","Tuesday"
8763," GATEWAY BLVD ","Tuesday"
8745," CHRISTIE ST ","Monday"
8705," DONLANDS AVE ","Monday"
8673," MIDDLEFIELD RD ","Thursday"
8633," TRETHEWEY DR ","Thursday"
8629," CARLINGVIEW DR ","Wednesday"
8528," MORTIMER AVE ","Wednesday"
8482," BREMNER BLVD ","Wednesday"
8476," SCARLET RD ","Tuesday"
8471," MEADOWVALE RD ","Thursday"
8470," ANNETTE ST ","Monday"
8464," QUEENS QUAY E ","Monday"
8462," BIRCHMOUNT RD ","Monday"
8457," DUPLEX AVE ","Wednesday"
8455," BROADVIEW AVE ","Thursday"
8440," HUNTINGWOOD DR ","Monday"
8431," DAWES RD ","Monday"
8420," DAWES RD ","Thursday"
8370," ASHTONBEE RD ","Monday"
8329," DON MILLS RD E ","Monday"
8325," HALLAM ST ","Thursday"
8313," MORNINGSIDE AVE ","Tuesday"
8308," BERMONDSEY RD ","Tuesday"
8273," ANNETTE ST ","Tuesday"
8264," HUMBERWOOD BLVD ","Monday"
8259," COSBURN AVE ","Thursday"
8214," THE WESTWAY ","Wednesday"
8202," PASSMORE AVE ","Saturday"
8186," MARKHAM RD ","Thursday"
8059," ESTHER SHINER BLVD ","Monday"
8054," RONCESVALLES AVE ","Thursday"
7998," DAWES RD ","Wednesday"
7989," GUILDWOOD PKWY ","Thursday"
7969," THE WESTWAY ","Thursday"
7957," GARDINER E PARK LAWN RD RAMP ","Tuesday"
7924," FORT YORK BLVD ","Wednesday"
7918," OLD WESTON RD ","Tuesday"
7913," RUNNYMEDE RD ","Thursday"
7907," CORPORATE DR ","Wednesday"
7826," LOWER SIMCOE ST ","Monday"
7809," MEADOWVALE RD ","Sunday"
7787," OAKDALE RD ","Tuesday"
7702," BELFIELD RD ","Wednesday"
7671," HUMBER COLLEGE BLVD ","Monday"
7664," SENTINEL RD ","Thursday"
7569," MILNER AVE ","Wednesday"
7564," THE DONWAY W ","Tuesday"
7499," THE EAST MALL ","Wednesday"
7494," RIVER ST ","Monday"
7372," LANSDOWNE AVE ","Thursday"
7317," WILLIAM KITCHEN RD ","Monday"
7307," INGRAM DR ","Thursday"
7253," BELLAMY RD N ","Monday"
7221," KING ST E ","Monday"
7122," WINDERMERE AVE ","Thursday"
7117," GATEWAY BLVD ","Monday"
7115," CARLTON ST ","Tuesday"
7062," COMSTOCK RD ","Monday"
7045," BREMNER BLVD ","Monday"
7033," DUPLEX AVE ","Monday"
6998," ATTWELL DR ","Monday"
6903," ST DENNIS DR ","Tuesday"
6878," WARDEN AVE ","Thursday"
6876," HORNER AVE ","Wednesday"
6859," QUEENS QUAY E ","Wednesday"
6836," VAUGHAN RD ","Wednesday"
6827," TAPSCOTT RD ","Monday"
6698," MCCOWAN RD ","Tuesday"
6679," SIGNET DR ","Tuesday"
6514," POYNTZ AVE ","Tuesday"
6411," BONIS AVE ","Thursday"
6407," QUEENS PLATE DR ","Thursday"
6237," MCLEVIN AVE ","Wednesday"
6232," CORPORATE DR ","Monday"
6206," SIGNET DR ","Wednesday"
6204," SCARBOROUGH GOLF CLUB RD ","Tuesday"
6161," VAUGHAN RD ","Tuesday"
6155," OLD KINGSTON RD ","Wednesday"
6129," MEADOWVALE RD ","Tuesday"
6126," MILNER AVE ","Monday"
5992," RICHMOND ST W ","Monday"
5969," LUMSDEN AVE ","Tuesday"
5963," MORTIMER AVE ","Monday"
5907," SEWELLS RD ","Wednesday"
5900," RANEE AVE ","Wednesday"
5861," BRITISH COLUMBIA RD ","Tuesday"
5832," LUMSDEN AVE ","Wednesday"
5787," MILLWOOD RD ","Tuesday"
5659," BRIDLETOWNE CRCL ","Wednesday"
5442," BELLAMY RD N ","Thursday"
5405," SCARBOROUGH GOLF CLUB RD ","Thursday"
5363," KING ST E ","Thursday"
5337," COMMISSIONERS ST ","Monday"
5276," LEBOVIC AVE ","Thursday"
5017," OLD KINGSTON RD ","Monday"
5002," RANEE AVE ","Monday"
4998," TALBOT RD ","Tuesday"
4893," FAIRVIEW MALL DR ","Monday"
4771," COMMISSIONERS ST ","Wednesday"
4742," CARLINGVIEW DR ","Saturday"
4682," TORO RD ","Wednesday"
4523," GRANTBROOK ST ","Wednesday"
4460," BAMBURGH CRCL ","Monday"
4416," GUNNS RD ","Wednesday"
4301," DWIGHT AVE ","Wednesday"
4253," SANDHURST CRCL ","Tuesday"
3941," MURRAY ROSS PKWY ","Monday"
3615," ORTON PARK RD ","Thursday"
3555," SHAW ST ","Thursday"
3551," DWIGHT AVE ","Thursday"
3039," TANGIERS RD ","Thursday"
2831," BRENYON WAY ","Thursday"
1998," ZOO RD ","Sunday"
1518," PRINCES BLVD ","Tuesday"
1081," OLD FINCH AVE ","Thursday"
